term,abbreviation,type,category,normal_min,normal_max,critical_low,critical_high,unit,frequency_score,icd10_code,cpt_code,snomed_id,explanation
Hemoglobin,Hb,lab test,Hematology,12.0,16.0,7.0,20.0,g/dL,0.12,,,,"Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions."
Hémoglobine,Hb_syn,lab test,Hematology,12.0,16.0,7.0,20.0,g/dL,0.12,,,,"Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions."
Taux d'Hb,Hb_syn,lab test,Hematology,12.0,16.0,7.0,20.0,g/dL,0.12,,,,"Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions."
Hemoglobin,Hb,lab test,Hematology,12.0,16.0,7.0,20.0,g/dL,0.096,,,,"Valeur de référence pour Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions. Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions."
Hemoglobin,Hb,lab test,Hematology,12.0,16.0,7.0,20.0,g/dL,0.096,,,,"Résultat de Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions. indique Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions."
Hemoglobin,Hb,lab test,Hematology,12.0,16.0,7.0,20.0,g/dL,0.12,,,,"Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions. Plage de référence: 12.0-16.0 g/dL"
Hemoglobin,Hb,lab test,Hematology,12.0,16.0,7.0,20.0,g/dL,0.12,,,,"Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions. Valeurs normales: entre 12.0 et 16.0 g/dL"
White Blood Cell Count,WBC,lab test,Hematology,4.0,11.0,2.0,30.0,10^9/L,0.23,,,,Clinical laboratory test measuring white blood cell count levels to assess health status.
Leucocytes,WBC_syn,lab test,Hematology,4.0,11.0,2.0,30.0,10^9/L,0.23,,,,Clinical laboratory test measuring white blood cell count levels to assess health status.
Numération globulaire blanche,WBC_syn,lab test,Hematology,4.0,11.0,2.0,30.0,10^9/L,0.23,,,,Clinical laboratory test measuring white blood cell count levels to assess health status.
White Blood Cell Count,WBC,lab test,Hematology,4.0,11.0,2.0,30.0,10^9/L,0.18400000000000002,,,,Valeur de référence pour Clinical laboratory test measuring white blood cell count levels to assess health status. Clinical laboratory test measuring white blood cell count levels to assess health status.
White Blood Cell Count,WBC,lab test,Hematology,4.0,11.0,2.0,30.0,10^9/L,0.18400000000000002,,,,Clinical laboratory test measuring white blood cell count levels to assess health status. - examen de laboratoire Clinical laboratory test measuring white blood cell count levels to assess health status.
White Blood Cell Count,WBC,lab test,Hematology,4.0,11.0,2.0,30.0,10^9/L,0.23,,,,Clinical laboratory test measuring white blood cell count levels to assess health status. Plage de référence: 4.0-11.0 10^9/L
White Blood Cell Count,WBC,lab test,Hematology,4.0,11.0,2.0,30.0,10^9/L,0.23,,,,Clinical laboratory test measuring white blood cell count levels to assess health status. Valeurs normales: entre 4.0 et 11.0 10^9/L
Platelet Count,PLT,lab test,Hematology,150.0,450.0,50.0,1000.0,10^9/L,0.18,,,1499914.0,Quantitative analysis of platelet count providing insights into physiological processes.
Plaquettes,PLT_syn,lab test,Hematology,150.0,450.0,50.0,1000.0,10^9/L,0.18,,,1499914.0,Quantitative analysis of platelet count providing insights into physiological processes.
Thrombocytes,PLT_syn,lab test,Hematology,150.0,450.0,50.0,1000.0,10^9/L,0.18,,,1499914.0,Quantitative analysis of platelet count providing insights into physiological processes.
Platelet Count,PLT,lab test,Hematology,150.0,450.0,50.0,1000.0,10^9/L,0.144,,,1499914.0,Valeur de référence pour Quantitative analysis of platelet count providing insights into physiological processes. Quantitative analysis of platelet count providing insights into physiological processes.
Platelet Count,PLT,lab test,Hematology,150.0,450.0,50.0,1000.0,10^9/L,0.144,,,1499914.0,Quantitative analysis of platelet count providing insights into physiological processes. - examen de laboratoire Quantitative analysis of platelet count providing insights into physiological processes.
Platelet Count,PLT,lab test,Hematology,150.0,450.0,50.0,1000.0,10^9/L,0.18,,,1499914.0,Quantitative analysis of platelet count providing insights into physiological processes. Plage de référence: 150.0-450.0 10^9/L
Platelet Count,PLT,lab test,Hematology,150.0,450.0,50.0,1000.0,10^9/L,0.18,,,1499914.0,Quantitative analysis of platelet count providing insights into physiological processes. Valeurs normales: entre 150.0 et 450.0 10^9/L
Cholesterol Total,TC,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.3,,,1445199.0,"Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions."
