terme,abreviation,type,categorie,normal_min,normal_max,critique_bas,critique_haut,unite,score_frequence,code_cim10,code_ccam,id_snomed,explication
Hémoglobine,Hb,analyse_labo,Hématologie,12.0,16.0,7.0,20.0,g/dL,0.12,,,,"Mesure du/de hémoglobine dans le sang, utilisée pour diagnostiquer et surveiller diverses affections."
Numération des globules blancs,GB,analyse_labo,Hématologie,4.0,11.0,2.0,30.0,10^9/L,0.23,,,,Analyse de laboratoire clinique mesurant les taux de numération des globules blancs pour évaluer l'état de santé.
Numération plaquettaire,PLT,analyse_labo,Hématologie,150.0,450.0,50.0,1000.0,10^9/L,0.18,,,1499914.0,Analyse quantitative du/de numération plaquettaire fournissant des informations sur les processus physiologiques.
Cholestérol total,CT,analyse_labo,Biochimie,3.6,5.2,,6.2,mmol/L,0.3,,,1445199.0,"Mesure du/de cholestérol total dans le sang, utilisée pour diagnostiquer et surveiller diverses affections."
Lipoprotéines de basse densité,LDL,analyse_labo,Biochimie,1.8,3.0,,4.9,mmol/L,0.28,,,8038374.0,Analyse quantitative du/de lipoprotéines de basse densité fournissant des informations sur les processus physiologiques.
Lipoprotéines de haute densité,HDL,analyse_labo,Biochimie,1.0,2.0,0.4,,mmol/L,0.5,,,,Analyse de laboratoire clinique mesurant les taux de lipoprotéines de haute densité pour évaluer l'état de santé.
Triglycérides,TG,analyse_labo,Biochimie,0.5,1.7,,5.6,mmol/L,0.78,,,,"Mesure du/de triglycérides dans le sang, utilisée pour diagnostiquer et surveiller diverses affections."
Glycémie à jeun,GAJ,analyse_labo,Biochimie,3.9,5.6,2.8,16.7,mmol/L,0.41,,,,Test sanguin standard permettant de détecter des anomalies dans les paramètres de biochimie.
Hémoglobine glyquée,HbA1c,analyse_labo,Endocrinologie,4.0,5.6,,9.0,%,0.19,,,7022674.0,Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie.
Hormone thyréostimulante,TSH,analyse_labo,Endocrinologie,0.4,4.0,0.01,10.0,mUI/L,0.64,,,8707870.0,Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie.
T4 libre,FT4,analyse_labo,Endocrinologie,10.0,20.0,5.0,30.0,pmol/L,0.21,,,2322047.0,Analyse quantitative du/de t4 libre fournissant des informations sur les processus physiologiques.
Protéine C-réactive,CRP,analyse_labo,Immunologie,0.0,5.0,,100.0,mg/L,0.36,,,7067228.0,Analyse quantitative du/de protéine c-réactive fournissant des informations sur les processus physiologiques.
