term,abbreviation,type,category,normal_min,normal_max,critical_low,critical_high,unit,frequency_score,icd10_code,cpt_code,snomed_id,explanation
Hemoglobin,Hb,lab test,Hematology,12,16,7,20,g/dL,0.12,,,,"Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions."
White Blood Cell Count,WBC,lab test,Hematology,4,11,2,30,10^9/L,0.23,,,,Clinical laboratory test measuring white blood cell count levels to assess health status.
Platelet Count,PLT,lab test,Hematology,150,450,50,1000,10^9/L,0.18,,,1499914,Quantitative analysis of platelet count providing insights into physiological processes.
Cholesterol Total,TC,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.3,,,1445199,"Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions."
Low-Density Lipoprotein,LDL,lab test,Biochemistry,1.8,3,,4.9,mmol/L,0.28,,,8038374,Quantitative analysis of low-density lipoprotein providing insights into physiological processes.
High-Density Lipoprotein,HDL,lab test,Biochemistry,1,2,0.4,,mmol/L,0.5,,,,Clinical laboratory test measuring high-density lipoprotein levels to assess health status.
Triglycerides,TG,lab test,Biochemistry,0.5,1.7,,5.6,mmol/L,0.78,,,,"Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions."
Fasting Blood Glucose,FBG,lab test,Biochemistry,3.9,5.6,2.8,16.7,mmol/L,0.41,,,,Standard blood test that helps detect abnormalities in biochemistry parameters.
Hemoglobin A1c,HbA1c,lab test,Endocrinology,4,5.6,,9,%,0.19,,,7022674,Important diagnostic marker for evaluating endocrinology function and disorders.
Thyroid Stimulating Hormone,TSH,lab test,Endocrinology,0.4,4,0.01,10,mIU/L,0.64,,,8707870,Important diagnostic marker for evaluating endocrinology function and disorders.
Free T4,FT4,lab test,Endocrinology,10,20,5,30,pmol/L,0.21,,,2322047,Quantitative analysis of free t4 providing insights into physiological processes.
C-Reactive Protein,CRP,lab test,Immunology,0,5,,100,mg/L,0.36,,,7067228,Quantitative analysis of c-reactive protein providing insights into physiological processes.
Erythrocyte Sedimentation Rate,ESR,lab test,Hematology,0,20,,100,mm/hr,0.27,,,,Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.
Creatinine,Cr,lab test,Biochemistry,62,106,,530,μmol/L,0.8,,,4905582,Clinical laboratory test measuring creatinine levels to assess health status.
Blood Urea Nitrogen,BUN,lab test,Biochemistry,2.5,7.1,,35.7,mmol/L,0.44,,,7120868,"Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions."
Sodium,Na,lab test,Biochemistry,135,145,120,160,mmol/L,0.43,,,,Clinical laboratory test measuring sodium levels to assess health status.
Potassium,K,lab test,Biochemistry,3.5,5,2.5,6.5,mmol/L,0.73,,,2197935,Important diagnostic marker for evaluating biochemistry function and disorders.
Alanine Aminotransferase,ALT,lab test,Biochemistry,7,56,,300,U/L,0.67,,,5107245,Quantitative analysis of alanine aminotransferase providing insights into physiological processes.
Aspartate Aminotransferase,AST,lab test,Biochemistry,10,40,,300,U/L,0.52,,,,Clinical laboratory test measuring aspartate aminotransferase levels to assess health status.
Alkaline Phosphatase,ALP,lab test,Biochemistry,44,147,,500,U/L,0.3,,,1938483,Quantitative analysis of alkaline phosphatase providing insights into physiological processes.
Hypertension,HTN,disease,Cardiovascular,,,,,,0.84,I50.6,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Type 2 Diabetes Mellitus,T2DM,disease,Endocrinology,,,,,,0.92,I82.5,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Coronary Artery Disease,CAD,disease,Cardiovascular,,,,,,0.46,I92.7,,,Pathological condition requiring ongoing monitoring and treatment.
Chronic Obstructive Pulmonary Disease,COPD,disease,Respiratory,,,,,,0.32,I81.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Asthma,,disease,Respiratory,,,,,,0.49,I84.6,,3320821,Health condition with specific diagnostic criteria and treatment protocols.
Rheumatoid Arthritis,RA,disease,Musculoskeletal,,,,,,0.54,I16.1,,,Health condition with specific diagnostic criteria and treatment protocols.
Osteoarthritis,OA,disease,Musculoskeletal,,,,,,0.81,I64.9,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Major Depressive Disorder,MDD,disease,Psychiatric,,,,,,0.64,I69.8,,,Pathological condition requiring ongoing monitoring and treatment.
Generalized Anxiety Disorder,GAD,disease,Psychiatric,,,,,,0.87,I11.1,,5476583,Health condition with specific diagnostic criteria and treatment protocols.
Hypothyroidism,,disease,Endocrinology,,,,,,0.2,I65.2,,5418934,Common endocrinology disorder with significant impact on quality of life.
Hyperthyroidism,,disease,Endocrinology,,,,,,0.79,I74.1,,6007072,Health condition with specific diagnostic criteria and treatment protocols.
Heart Failure,HF,disease,Cardiovascular,,,,,,0.65,I29.5,,9897858,Health condition with specific diagnostic criteria and treatment protocols.
Atrial Fibrillation,AFib,disease,Cardiovascular,,,,,,0.64,I72.0,,,Medical condition characterized by atrial fibrillation requiring medical management.
Stroke,CVA,disease,Neurological,,,,,,0.89,I49.3,,,Common neurological disorder with significant impact on quality of life.
Migraine,,disease,Neurological,,,,,,0.95,I20.7,,9937326,Health condition with specific diagnostic criteria and treatment protocols.
Irritable Bowel Syndrome,IBS,disease,Gastrointestinal,,,,,,0.22,I70.8,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Inflammatory Bowel Disease,IBD,disease,Gastrointestinal,,,,,,0.89,I64.3,,4374754,Health condition with specific diagnostic criteria and treatment protocols.
