question,answer,term,type,category,source
Valeurs normales pour Hemoglobin,"Hemoglobin: Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 12.0-16.0 g/dL.",Hemoglobin,lab test,Hematology,augmented
Valeurs normales pour Hemoglobin,"Le test Hemoglobin mesure measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 12.0 à 16.0 g/dL.",Hemoglobin,lab test,Hematology,augmented
Interprétation du test Hemoglobin,"Hemoglobin: Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 12.0-16.0 g/dL.",Hemoglobin,lab test,Hematology,augmented
Interprétation du test Hemoglobin,"Le test Hemoglobin mesure measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 12.0 à 16.0 g/dL.",Hemoglobin,lab test,Hematology,augmented
"Hemoglobin trop élevé, que faire?","Hemoglobin: Measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 12.0-16.0 g/dL.",Hemoglobin,lab test,Hematology,augmented
"Hemoglobin trop élevé, que faire?","Le test Hemoglobin mesure measurement of hemoglobin in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 12.0 à 16.0 g/dL.",Hemoglobin,lab test,Hematology,augmented
Valeurs normales pour White Blood Cell Count,White Blood Cell Count: Clinical laboratory test measuring white blood cell count levels to assess health status. Valeurs normales: 4.0-11.0 10^9/L.,White Blood Cell Count,lab test,Hematology,augmented
Valeurs normales pour White Blood Cell Count,Le test White Blood Cell Count mesure clinical laboratory test measuring white blood cell count levels to assess health status.. La plage normale est de 4.0 à 11.0 10^9/L.,White Blood Cell Count,lab test,Hematology,augmented
Interprétation du test White Blood Cell Count,White Blood Cell Count: Clinical laboratory test measuring white blood cell count levels to assess health status. Valeurs normales: 4.0-11.0 10^9/L.,White Blood Cell Count,lab test,Hematology,augmented
Interprétation du test White Blood Cell Count,Le test White Blood Cell Count mesure clinical laboratory test measuring white blood cell count levels to assess health status.. La plage normale est de 4.0 à 11.0 10^9/L.,White Blood Cell Count,lab test,Hematology,augmented
"White Blood Cell Count trop élevé, que faire?",White Blood Cell Count: Clinical laboratory test measuring white blood cell count levels to assess health status. Valeurs normales: 4.0-11.0 10^9/L.,White Blood Cell Count,lab test,Hematology,augmented
"White Blood Cell Count trop élevé, que faire?",Le test White Blood Cell Count mesure clinical laboratory test measuring white blood cell count levels to assess health status.. La plage normale est de 4.0 à 11.0 10^9/L.,White Blood Cell Count,lab test,Hematology,augmented
Valeurs normales pour Platelet Count,Platelet Count: Quantitative analysis of platelet count providing insights into physiological processes. Valeurs normales: 150.0-450.0 10^9/L.,Platelet Count,lab test,Hematology,augmented
Valeurs normales pour Platelet Count,Le test Platelet Count mesure quantitative analysis of platelet count providing insights into physiological processes.. La plage normale est de 150.0 à 450.0 10^9/L.,Platelet Count,lab test,Hematology,augmented
Interprétation du test Platelet Count,Platelet Count: Quantitative analysis of platelet count providing insights into physiological processes. Valeurs normales: 150.0-450.0 10^9/L.,Platelet Count,lab test,Hematology,augmented
Interprétation du test Platelet Count,Le test Platelet Count mesure quantitative analysis of platelet count providing insights into physiological processes.. La plage normale est de 150.0 à 450.0 10^9/L.,Platelet Count,lab test,Hematology,augmented
"Platelet Count trop élevé, que faire?",Platelet Count: Quantitative analysis of platelet count providing insights into physiological processes. Valeurs normales: 150.0-450.0 10^9/L.,Platelet Count,lab test,Hematology,augmented
"Platelet Count trop élevé, que faire?",Le test Platelet Count mesure quantitative analysis of platelet count providing insights into physiological processes.. La plage normale est de 150.0 à 450.0 10^9/L.,Platelet Count,lab test,Hematology,augmented
Valeurs normales pour Cholesterol Total,"Cholesterol Total: Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 3.6-5.2 mmol/L.",Cholesterol Total,lab test,Biochemistry,augmented
Valeurs normales pour Cholesterol Total,"Le test Cholesterol Total mesure measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 3.6 à 5.2 mmol/L.",Cholesterol Total,lab test,Biochemistry,augmented
Interprétation du test Cholesterol Total,"Cholesterol Total: Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 3.6-5.2 mmol/L.",Cholesterol Total,lab test,Biochemistry,augmented
Interprétation du test Cholesterol Total,"Le test Cholesterol Total mesure measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 3.6 à 5.2 mmol/L.",Cholesterol Total,lab test,Biochemistry,augmented
