question,reponse,terme_original,type,categorie,type_question,necessite_avertissement
C'est quoi Hémoglobine ?,"Hémoglobine (Hb) est une analyse de laboratoire en Hématologie. Mesure du/de hémoglobine dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 12.0 et 16.0 g/dL.",Hémoglobine,analyse_labo,Hématologie,definition,False
Qu'est-ce que Hémoglobine ?,"Hémoglobine (Hb) est une analyse de laboratoire en Hématologie. Mesure du/de hémoglobine dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 12.0 et 16.0 g/dL.",Hémoglobine,analyse_labo,Hématologie,definition,False
Qu'entend-on par Hémoglobine ?,"Hémoglobine (Hb) est une analyse de laboratoire en Hématologie. Mesure du/de hémoglobine dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 12.0 et 16.0 g/dL.",Hémoglobine,analyse_labo,Hématologie,definition,False
Explique Hb,Hb signifie Hémoglobine. C'est un terme utilisé en Hématologie.,Hémoglobine,analyse_labo,Hématologie,abbreviation,False
Quelle est la signification de Hb ?,Hb signifie Hémoglobine. C'est un terme utilisé en Hématologie.,Hémoglobine,analyse_labo,Hématologie,abbreviation,False
Quels sont les taux normaux de Hémoglobine ?,"Les valeurs normales de Hémoglobine se situent entre 12.0 et 16.0 g/dL.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine,analyse_labo,Hématologie,valeurs_normales,True
Valeurs de référence de Hémoglobine ?,"Les valeurs normales de Hémoglobine se situent entre 12.0 et 16.0 g/dL.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine,analyse_labo,Hématologie,valeurs_normales,True
À quel niveau Hémoglobine devient préoccupant ?,"Pour Hémoglobine, les valeurs critiques sont : en dessous de 7.0 g/dL (seuil bas critique) et au-dessus de 20.0 g/dL (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine,analyse_labo,Hématologie,valeurs_critiques,True
"J'ai Hémoglobine à 14.71 g/dL, c'est normal ?","Une valeur de 14.71 g/dL pour Hémoglobine se situe dans la plage normale (12.0-16.0 g/dL). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine,analyse_labo,Hématologie,interpretation,True
"Numération des globules blancs, qu'est-ce que c'est exactement ?",Numération des globules blancs (GB) est une analyse de laboratoire en Hématologie. Analyse de laboratoire clinique mesurant les taux de numération des globules blancs pour évaluer l'état de santé. Les valeurs normales se situent entre 4.0 et 11.0 10^9/L.,Numération des globules blancs,analyse_labo,Hématologie,definition,False
Peux-tu m'expliquer ce qu'est Numération des globules blancs ?,Numération des globules blancs (GB) est une analyse de laboratoire en Hématologie. Analyse de laboratoire clinique mesurant les taux de numération des globules blancs pour évaluer l'état de santé. Les valeurs normales se situent entre 4.0 et 11.0 10^9/L.,Numération des globules blancs,analyse_labo,Hématologie,definition,False
Qu'est-ce que Numération des globules blancs ?,Numération des globules blancs (GB) est une analyse de laboratoire en Hématologie. Analyse de laboratoire clinique mesurant les taux de numération des globules blancs pour évaluer l'état de santé. Les valeurs normales se situent entre 4.0 et 11.0 10^9/L.,Numération des globules blancs,analyse_labo,Hématologie,definition,False
C'est quoi GB ?,GB signifie Numération des globules blancs. C'est un terme utilisé en Hématologie.,Numération des globules blancs,analyse_labo,Hématologie,abbreviation,False
Quelle est la signification de GB ?,GB signifie Numération des globules blancs. C'est un terme utilisé en Hématologie.,Numération des globules blancs,analyse_labo,Hématologie,abbreviation,False
